year,gross_income_€,single_males,single_males_total_gross_income_€m,single_females,single_females_total_gross_income_€m,married_couples_both_earning,married_couples_both_earning_total_gross_income_€m,married_couples_one_earning,married_couples_one_earning_total_gross_income_€m,widowers,widowers_total_gross_income_€m,widows,widows_total_gross_income_€m,all_taxpayers,all_taxpayers_total_gross_income_€m
2019,"50,000 - 60,000",36802,2010.79,33192,1807.83,84941,4644.38,39580,2163.15,2258,123.12,3685,200.56,200458,10949.82
2019,"60,000 - 70,000",22506,1453.41,17563,1132.28,54812,3541.89,25522,1649,1328,85.86,2030,130.99,123761,7993.43
2019,"70,000 - 75,000",7902,572.36,5598,405.4,19740,1429.71,9579,694.04,421,30.46,676,48.95,43916,3180.93
2019,"75,000 - 80,000",6115,473.4,4240,327.95,15966,1235.98,7958,616.06,343,26.57,473,36.56,35095,2716.51
2019,"80,000 - 90,000",8544,722.74,5732,485.03,22880,1936.02,11518,975.57,526,44.59,669,56.51,49869,4220.46
2019,"90,000 - 100,000",5583,528.56,3535,334.64,15287,1447.93,8044,762.49,307,29.07,356,33.61,33112,3136.29
2019,"100,000 - 150,000",10727,1273.2,6351,750.91,31813,3800.21,18498,2221.65,701,83.57,771,92.21,68861,8221.74
2019,"150,000 - 200,000",2675,455.78,1594,271.89,9887,1692.87,6373,1091.93,208,35.35,209,35.91,20946,3583.72
2019,"200,000 - 275,000",1422,327.49,854,196.6,6029,1393.4,4248,988.88,129,30.15,123,28.52,12805,2965.04
2019,"Over 275,000",1387,751.54,689,338.71,5728,2748.21,5545,3362.34,142,85.16,129,67.03,13620,7353
2018,"0 - 10,000","186,759",887.42,"172,651",816.81,"84,790",464.57,"68,012",336.51,"1,156",5.59,"2,186",11.17,"515,554","2,522.08"
2018,"10,000 - 12,000","36,083",397.57,"34,354",378.61,"36,102",397.82,"36,765",400.35,453,5.03,"1,044",11.61,"144,801","1,590.98"
2018,"12,000 - 15,000","50,247",678.52,"50,624",683.59,"57,722",776.1,"43,515",574.92,"2,242",31.08,"6,837",95.26,"211,187","2,839.46"
2018,"15,000 - 17,000","33,283",532.37,"33,080",529.2,"34,694",555.13,"17,324",277.17,"2,008",32.05,"6,008",95.86,"126,397","2,021.78"
2018,"17,000 - 20,000","50,371",932.88,"49,957",924.97,"52,926",979.65,"25,740",476.24,"2,571",47.45,"7,483",138.18,"189,048","3,499.37"
2018,"20,000 - 25,000","82,393","1,853.86","76,751","1,721.32","90,051","2,030.13","42,854",966.61,"3,251",72.62,"10,882",243.4,"306,182","6,887.94"
2018,"25,000 - 27,000","31,833",827.38,"25,756",669.12,"37,595",976.82,"19,259",500.71,"1,160",30.15,"3,596",93.44,"119,199","3,097.61"
2018,"27,000 - 30,000","44,811","1,276.17","33,911",965.99,"53,958","1,538.67","28,053",799.44,"1,670",47.58,"4,641",132,"167,044","4,759.85"
2018,"30,000 - 35,000","66,494","2,156.90","50,953","1,655.68","89,664","2,913.66","44,413","1,441.79","2,407",78.11,"5,964",193.24,"259,895","8,439.37"
2018,"35,000 - 40,000","50,676","1,892.92","45,630","1,703.75","79,006","2,952.69","38,688","1,447.11","2,007",75.05,"4,254",158.87,"220,261","8,230.39"
2018,"40,000 - 50,000","59,953","2,667.31","54,901","2,445.89","114,731","5,123.20","54,361","2,422.15","3,430",153.65,"6,032",269.31,"293,408","13,081.51"
2018,"50,000 - 60,000","34,441","1,881.21","31,127","1,694.49","78,966","4,315.18","34,530","1,887.28","2,074",112.85,"3,231",175.88,"184,369","10,066.90"
2018,"60,000 - 70,000","21,196","1,369.04","15,939","1,027.26","49,130","3,172.91","21,716","1,403.67","1,218",78.71,"1,874",121.1,"111,073","7,172.69"
2018,"70,000 - 75,000","7,178",520,"5,153",373.25,"17,719","1,283.65","8,357",605.34,371,26.87,631,45.64,"39,409","2,854.75"
2018,"75,000 - 80,000","5,695",440.84,"3,805",294.4,"14,099","1,091.54","6,630",513.4,306,23.66,453,35.09,"30,988","2,398.93"
2018,"80,000 - 90,000","7,776",657.9,"5,087",430.3,"19,936","1,687.45","9,795",829.29,440,37.18,565,47.76,"43,599","3,689.88"
2018,"90,000 - 100,000","5,146",487.19,"3,235",306.11,"13,442","1,273.32","6,997",662.87,300,28.39,335,31.78,"29,455","2,789.66"
2018,"100,000 - 150,000","9,865","1,170.81","5,678",669.26,"28,201","3,369.20","15,994","1,921.16",633,75.57,683,80.82,"61,054","7,286.82"
2018,"150,000 - 200,000","2,426",412.98,"1,467",250.09,"8,769","1,501.73","5,681",974.46,193,33.06,207,35.59,"18,743","3,207.91"
2018,"200,000 - 275,000","1,227",283.61,688,158.42,"5,169","1,193.89","3,723",861.91,122,28.18,92,21.48,"11,021","2,547.49"
