id,locationId,name,status,addressstreet,addresscity,addressstate,addresszip,addresscountryId,addresscountry,addressregionId,addressregion,gpslatitude,gpslongitude,dateOpened,stallCount,counted,elevationMeters,powerKilowatt,solarCanopy,battery,statusDays,urlDiscuss,hours
3699,songpasupercharger,"Seoul - Songpa, South Korea",OPEN,"209, Jamsil-ro, Songpa-gu",Seoul,,,137,South Korea,102,Asia Pacific,37.513534,127.106174,2021-09-25,6,true,15,250,false,false,0,true,
3700,shigaotsusupercharger,"Otsu, Japan",OPEN,Promenade Aoyama 5-13-1 Aoyama,Otsu,Shiga,,114,Japan,102,Asia Pacific,34.9785003,135.96920831,2021-09-25,4,true,138,0,false,false,0,true,
4133,singaporewaterwaypointsupercharger,"Waterway Point, Singapore",OPEN,"83 Punggol Central, Waterway Point Mall, Level B2M, Section C2",Singapore,,828763,156,Singapore,102,Asia Pacific,1.40646,103.90213,2022-03-26,3,true,12,250,false,false,0,false,
3702,mesquitenvsupercharger,"Mesquite, NV",OPEN,950 W Mesquite Blvd,Mesquite,NV,89027,100,USA,100,North America,36.802978,-114.099928,2021-10-27,12,true,487,250,false,false,0,true,
3417,ArvinCAsupercharger,"Tejon Ranch - Outlets at Tejon Pkwy, CA",OPEN,5701 Outlets at Tejon Pkwy,Arvin,CA,93203,100,USA,100,North America,34.985959,-118.94385,2021-09-01,40,true,337,250,false,false,0,true,4:30am-11pm
4085,UrbanaILSupercharger,"Urbana, IL",PERMIT,2100 E University Ave,Urbana,IL,61802,100,USA,100,North America,40.115628,-88.182804,,8,true,223,250,false,false,37,true,
4087,,"San Diego - Carmel Mountain Ranch, CA",PERMIT,12080 Carmel Mountain Rd,San Diego,CA,92128,100,USA,100,North America,32.984443,-117.076353,,12,true,218,250,false,false,36,true,
4088,KearneyNESupercharger,"Kearney, NE",PERMIT,815 2nd Ave E,Kearney,NE,68847,100,USA,100,North America,40.6822,-99.0834,,8,true,654,250,false,false,35,true,
4089,LenoxMASupercharger,"Lenox, MA",PERMIT,55 Pittsfield Rd,Lenox,MA,01240,100,USA,100,North America,42.37744,-73.277704,,8,true,403,250,false,false,35,true,
4090,SelmaCASupercharger,"Selma, CA",PERMIT,2851 Highland Ave,Selma,CA,93662,100,USA,100,North America,36.574434,-119.629402,,8,true,94,250,false,false,35,true,
3744,,"Rogers (SC), MN",CLOSED_PERM,22015 S Diamond Lake Rd,Rogers,MN,55374,100,USA,100,North America,45.199393,-93.560314,,2,true,282,250,false,false,189,true,
4134,masdarcentralparksupercharger,"Masdar Central Park, UAE",OPEN,"[unnamed road], Masdar City",Masdar,,,134,United Arab Emirates,102,Asia Pacific,24.43096,54.61766,2022-03-06,4,true,5,250,false,false,0,true,
4110,schiedamsupercharger,"Schiedam, Netherlands",OPEN,Hargalaan 6,Schiedam,,3118 JA,104,Netherlands,101,Europe,51.92486,4.372225,2022-03-24,16,true,-2,250,false,false,0,true,
4124,,"Steinkjer, Norway",PERMIT,"Bogavegen, close to Rema 1000 Nordsia",Steinkjer,,7725,105,Norway,101,Europe,64.01945407468439,11.4916092346726,,20,true,3,250,false,false,18,false,
3900,SpragueWASupercharger,"Sprague, WA",OPEN,2008 Durry Road,Sprague,WA,99032,100,USA,100,North America,47.209072,-118.22589,2022-03-29,8,true,581,250,false,false,0,true,
4099,JasperFLSupercharger,"Jasper, FL",OPEN,6723 US-129,Jasper,FL,32052,100,USA,100,North America,30.446647,-82.933586,2022-03-29,8,true,49,250,false,false,0,true,
3453,BakersfieldCAsupercharger,"Bakersfield - Copus Rd, CA",CLOSED_TEMP,10565 Copus Rd,Kern County,CA,93313,100,USA,100,North America,35.094874,-119.040158,,20,true,100,250,false,false,0,true,
3703,incheonmichuholsupercharger,"Michuhol, South Korea",OPEN,"Ellyway Incheon, 12, Sukgol-ro 88beon-gil, Michuhol-gu",Incheon,,,137,South Korea,102,Asia Pacific,37.470798,126.665855,2021-09-27,6,true,13,250,false,false,0,true,
3705,cnsc9538,"Heze – Jiahe City Mall, China",OPEN,"1800 Zhonghua Road (Level B2, green wall in Area E), Mudan District",Heze,Shandong,274000,115,China,102,Asia Pacific,35.2345,115.4586,2021-09-15,9,true,54,250,false,false,0,false,
3708,cnsc9522,"Haikou – Fullsing City, China",OPEN,"Fullsing City (Block D), Binhai Avenue, Longhua District (entrance: Century Park Middle Road)",Haikou,Hainan,570105,115,China,102,Asia Pacific,20.04279,110.31357,2021-09-11,9,true,3,250,false,false,0,false,
3714,cnsc9524,"Shanghai – Wisdom Bay, China",OPEN,"P2 carpark, Area C, Gate 1, 6 Yunchuan Road, Baoshan District (enter via gate 5, Liangyi Road)",Shanghai,Shanghai,201906,115,China,102,Asia Pacific,31.3449,121.4278,2021-09-07,6,true,5,250,false,false,0,false,
3716,cnsc9580,"Ziyang – Manso Center, China",OPEN,"1 Jiaozi Avenue, Section 2 (carpark A1-092, Zone A, Level -2), Yanjiang District",Ziyang,Sichuan,,115,China,102,Asia Pacific,30.12869,104.62853,2021-08-28,6,true,360,250,false,false,0,false,
3717,cnsc9608,"Deyang – Aojie Street, China",OPEN,"Aojie Street, 60m south of No. 151, Section 2, Kaijiang Road, Jingyang District",Deyang,Sichuan,,115,China,102,Asia Pacific,31.13027,104.41463,2021-08-28,6,true,494,250,false,false,0,false,
3718,cnsc9419,"Chengdu – Min River Dream Hotel, China",OPEN,"388 Dujiangyan Avenue, opposite car park 056, Dujiangyan",Chengdu,Sichuan,,115,China,102,Asia Pacific,30.98672,103.65843,2021-08-28,6,true,697,250,false,false,0,false,
3720,rockinghamncsupercharger,"Rockingham, NC",OPEN,1305 E Broad Ave,Rockingham,NC,27839,100,USA,100,North America,34.921509,-79.74772,2021-12-10,12,true,81,250,false,false,0,true,
3739,kenoshawisupercharger,"Kenosha, WI",OPEN,7145 118th Ave,Kenosha,WI,53142,100,USA,100,North America,42.56911,-87.947466,2021-12-18,12,true,212,250,false,false,0,true,
